Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
Torbjörn klockares gata 11,Vasastan/Röda Bergen,Stockholms kommun,2022-06-14,4350000,3995000,Lägenhet,Bostadsrätt,2 ,40 ,False,2 av 4,True,1925,2263,4600
"Dalagatan 86D, 2 tr",Vasastan,Stockholms kommun,2022-06-14,3970000,3750000,Lägenhet,Bostadsrätt,2 ,36 ,False,2 av 5,True,1919,2139,
"Karlbergsvägen 55, 3tr",Vasastan - Birkastan,Stockholms kommun,2022-06-13,8300000,7250000,Lägenhet,Andel i bostadsförening,2 ,60 ,True,3 av 5,True,1905,1615,5375
Sigtunagatan 13,Vasastan,Stockholms kommun,2022-06-13,4075000,3195000,Lägenhet,Bostadsrätt,2 ,30 ,False,,,1901,983,6120
"Sigtunagatan 11, 2 TR",Vasastan,Stockholms kommun,2022-06-12,7000000,6495000,Lägenhet,Bostadsrätt,2 ,57 ,False,2 av 4,True,1898,3356,5460
Luntmakargatan 86A,Vasastan,Stockholms kommun,2022-06-12,4130000,3995000,Lägenhet,Bostadsrätt,2 ,48 ,False,1 av 5,True,1988,2719,4800
Atlasgatan 7,Vasastan,Stockholms kommun,2022-06-12,4600000,3995000,Lägenhet,Andel i bostadsförening,2 ,40 ,,1 av 6,True,1929,1960,6600
"Sveavägen 99, 2,5 tr",Vasastan,Stockholms kommun,2022-06-11,4825000,4300000,Lägenhet,Bostadsrätt,2 ,"41,5 ",True,,,1926,1928,5400
Völundsgatan 11,Vasastan - Atlas,Stockholms kommun,2022-06-10,4275000,3795000,Lägenhet,Bostadsrätt,2 ,"37,5 ",,0,True,1926,2194,
"Vidargatan 2, 5tr",Vasastan - Odenplan,Stockholms kommun,2022-06-10,8200000,6950000,Lägenhet,Bostadsrätt,2 ,65 ,True,5 av 6,True,1906,2669,5400
Frejgatan 45,Vasastan,Stockholms kommun,2022-06-10,3650000,3450000,Lägenhet,Bostadsrätt,2 ,35 ,,2 av 6,True,1927,1809,4400
Frejgatan 10,Vasastan,Stockholms kommun,2022-06-10,8500000,7950000,Lägenhet,Bostadsrätt,2 ,58 ,True,,,1884,995,15800
"Gästrikegatan 13, 1tr",Vasastan,Stockholms kommun,2022-06-09,5910000,4995000,Lägenhet,Bostadsrätt,2 ,45 ,True,1 av 5,True,1909,1499,4560
"Tegnérgatan 57A, 4 tr",Vasastan/Norrmalm,Stockholms kommun,2022-06-09,4350000,4395000,Lägenhet,Bostadsrätt,2 ,48 ,False,4 av 6,True,1929,2628,8000
Luntmakargatan 70,Vasastan,Stockholms kommun,2022-06-09,6800000,6750000,Lägenhet,Bostadsrätt,2 ,62 ,True,3 av 3,False,1750,1905,14700
Idungatan 6A,Vasastan,Stockholms kommun,2022-06-09,4000000,3700000,Lägenhet,Bostadsrätt,2 ,"32,5 ",True,2 av 4,False,1905,1516,7800
"Frejgatan 34, 1tr",Vasastan - Odenplan,Stockholms kommun,2022-06-08,4800000,4695000,Lägenhet,Bostadsrätt,2 ,"44,5 ",True,1,True,1939,2345,
"Birger Jarlsgatan 115A, 4tr",Vasastan,Stockholms kommun,2022-06-08,6500000,5495000,Lägenhet,Bostadsrätt,2 ,54 ,True,4 av 6,True,1913,2373,3196
"Observatoriegatan 2A, 2tr",Vasastan,Stockholms kommun,2022-06-07,5100000,4595000,Lägenhet,Bostadsrätt,2 ,45 ,,2 av 6,True,1927,1492,7140
Sonja Kovalevskys gata 11,Vasastan - Hagastaden,Stockholms kommun,2022-06-04,4825000,4495000,Lägenhet,Bostadsrätt,2 ,45 ,True,1,True,2018,2250,
Tre Liljor 5,Vasastan,Stockholms kommun,2022-06-03,4100000,3995000,Lägenhet,Bostadsrätt,2 ,37 ,True,0,True,1926,1854,4968
"Tomtebogatan 37A, 3tr ög",Vasastan,Stockholms kommun,2022-06-03,7500000,6950000,Lägenhet,Bostadsrätt,2 ,54 ,True,3 av 4,True,1910,2696,12600
"Birger Jarlsgatan 97A, 3 tr",Vasastan/Östermalm,Stockholms kommun,2022-06-03,6300000,,Lägenhet,Bostadsrätt,2 ,63 ,True,3 av 4,False,1914,2619,5500
"Tomtebogatan 46, 3,5 tr",Birkastan/ Vasastan,Stockholms kommun,2022-06-03,4250000,3995000,Lägenhet,Bostadsrätt,2 ,33 ,True,3,True,1906,1783,5400
"Sonja Kovalevskys Gata 11, ACCEPTERAT PRIS",Vasastan - Hagastaden,Stockholms kommun,2022-06-02,6395000,6395000,Lägenhet,Bostadsrätt,2 ,63 ,True,3 av 14,True,2018,3150,
"Ynglingagatan 27, 2,5tr.",Vasastan,Stockholms kommun,2022-06-02,6320000,5895000,Lägenhet,Bostadsrätt,2 ,57 ,,2 av 7,True,1923,2625,5760
"Hälsingegatan 7, 2tr ög",Vasastan,Stockholms kommun,2022-06-02,7200000,6795000,Lägenhet,Bostadsrätt,2 ,53 ,True,2 av 3,False,1899,1903,6890
"Robert Almströmsgatan 4, 1tr",Vasastan - Birkastan,Stockholms kommun,2022-06-02,5125000,4695000,Lägenhet,Bostadsrätt,2 ,44 ,,1 av 5,True,1929,2349,
"Karlbergsvägen 43A, 2tr",Vasastan,Stockholms kommun,2022-06-02,4630000,4195000,Lägenhet,Bostadsrätt,2 ,"41,3 ",,2 av 5,True,1910,1511,6360
Norrbackagatan 5A,Birkastan,Stockholms kommun,2022-06-02,4800000,4395000,Lägenhet,Bostadsrätt,2 ,42 ,False,,,1924,1507,4450
Tulegatan 5 B,Vasastan,Stockholms kommun,2022-06-02,7150000,7495000,Lägenhet,Bostadsrätt,2 ,62 ,True,1 av 4,True,1891,4018,9600
"Roslagsgatan 29A, 4 tr Gårdshus",Vasastaden,Stockholms kommun,2022-06-01,5475000,5450000,Lägenhet,Bostadsrätt,2 ,53 ,True,4 av 4,True,1936,3266,
"Observatoriegatan 12A, Gårdshus",Vasastan,Stockholms kommun,2022-06-01,7900000,7200000,Lägenhet,Bostadsrätt,2 ,62 ,True,1 av 3,False,1888,2047,7000
"Hälsingegatan 12, 2tr, ög",Vasastan - Odenplan,Stockholms kommun,2022-05-31,6975000,5995000,Lägenhet,Bostadsrätt,2 ,51 ,True,2,True,1912,2601,
Tomtebogatan 22,Vasastan,Stockholms kommun,2022-05-31,4100000,3895000,Lägenhet,Bostadsrätt,2 ,33 ,False,3 av 4,True,1908,1754,
"Medevigatan 8, 2tr",Vasastan - Odenplan,Stockholms kommun,2022-05-31,3900000,3850000,Lägenhet,Bostadsrätt,2 ,35 ,True,3 av 5,True,2009,2416,4200
"Gävlegatan 36B, 11 tr",Hagastaden Vasastan,Stockholms kommun,2022-05-31,4325000,3850000,Lägenhet,Bostadsrätt,2 ,"35,1 ",True,11 av 16,True,2020,2090,
"Sankt Eriksgatan 118, 3 tr",Vasastan,Stockholms kommun,2022-05-31,5750000,5750000,Lägenhet,Bostadsrätt,2 ,60 ,True,3 av 5,False,1924,4220,
